StoreID,ProductID,InventoryLevel,ReorderThreshold
S001,P0096,91,140
S001,P0096,90,140
S001,P0096,125,140
S001,P0096,129,140
S001,P0096,100,140
S001,P0096,139,140
S001,P0096,87,140
S001,P0096,104,140
S001,P0096,121,140
S001,P0096,100,140
S001,P0096,82,140
S001,P0096,136,140
S001,P0096,136,140
S001,P0096,90,140
S001,P0096,110,140
S001,P0096,132,140
S001,P0096,105,140
S001,P0096,106,140
S001,P0096,131,140
S001,P0096,69,140
S001,P0096,131,140
S001,P0096,129,140
S001,P0096,111,140
S001,P0096,132,140
S001,P0096,62,140
S001,P0096,98,140
S001,P0096,54,140
S001,P0096,74,140
S001,P0096,134,140
S001,P0096,133,140
S001,P0096,128,140
S001,P0096,90,140
S001,P0096,136,140
S001,P0096,94,140
S001,P0096,132,140
S001,P0096,138,140
S001,P0096,93,140
S001,P0096,121,140
S001,P0096,62,140
S001,P0096,116,140
S001,P0096,136,140
S001,P0096,128,140
S001,P0096,114,140
S001,P0096,112,140
S001,P0096,120,140
S001,P0096,93,140
S001,P0096,111,140
S001,P0096,64,140
S001,P0096,130,140
S001,P0096,105,140
S001,P0096,106,140
S001,P0096,57,140
S001,P0096,127,140
S001,P0096,121,140
S001,P0096,62,140
S001,P0096,119,140
S001,P0096,111,140
S001,P0096,111,140
S001,P0096,67,140
S001,P0096,137,140
S001,P0096,126,140
S001,P0096,92,140
S001,P0096,104,140
S001,P0096,53,140
S001,P0096,68,140
S001,P0096,64,140
S001,P0096,115,140
S001,P0096,135,140
S001,P0096,66,140
S001,P0096,113,140
S001,P0096,87,140
S001,P0096,105,140
S001,P0096,109,140
S001,P0096,111,140
S001,P0096,63,140
S001,P0096,78,140
S001,P0096,87,140
S001,P0096,98,140
S001,P0096,119,140
S001,P0096,91,140
S001,P0096,76,140
S001,P0096,113,140
S001,P0096,135,140
S001,P0096,80,140
S001,P0096,60,140
S001,P0096,105,140
S001,P0096,131,140
S001,P0096,116,140
S001,P0096,117,140
S001,P0096,135,140
S001,P0096,84,140
S001,P0096,123,140
S001,P0096,75,140
S001,P0096,136,140
S001,P0096,113,140
S001,P0096,123,140
S001,P0096,132,140
S001,P0096,29,140
S001,P0096,86,140
S001,P0096,129,140
S001,P0096,108,140
S001,P0096,92,140
S001,P0096,104,140
S001,P0096,75,140
S001,P0096,78,140
S001,P0096,104,140
S001,P0096,87,140
S001,P0096,123,140
S001,P0096,56,140
S001,P0096,137,140
S001,P0096,135,140
S001,P0096,133,140
S001,P0096,96,140
S001,P0096,116,140
S001,P0096,75,140
S001,P0096,111,140
S001,P0096,127,140
S001,P0096,115,140
S001,P0096,125,140
S001,P0096,138,140
S001,P0096,53,140
S001,P0096,64,140
S001,P0096,97,140
S001,P0096,50,140
S001,P0096,70,140
S001,P0096,115,140
S001,P0096,107,140
S001,P0096,125,140
S001,P0096,107,140
S001,P0096,105,140
S001,P0096,119,140
S001,P0096,134,140
S001,P0096,82,140
S001,P0096,137,140
S001,P0096,71,140
S001,P0096,114,140
S001,P0096,69,140
S001,P0096,83,140
S001,P0096,136,140
S001,P0096,39,140
S001,P0096,85,140
S001,P0096,126,140
S001,P0096,103,140
S001,P0096,74,140
S001,P0096,58,140
S001,P0096,92,140
S001,P0096,122,140
S001,P0096,127,140
S001,P0096,101,140
S001,P0096,99,140
S001,P0096,109,140
S001,P0096,98,140
S001,P0096,116,140
S001,P0096,80,140
S001,P0096,134,140
S001,P0096,94,140
S001,P0096,123,140
S001,P0096,97,140
S001,P0096,100,140
S001,P0096,113,140
S001,P0096,118,140
S001,P0096,125,140
S001,P0096,126,140
S001,P0096,82,140
S001,P0096,98,140
S001,P0096,43,140
S001,P0096,109,140
S001,P0096,111,140
S001,P0096,76,140
S001,P0096,86,140
S001,P0096,112,140
S001,P0096,130,140
S001,P0096,80,140
S001,P0096,81,140
S001,P0096,132,140
S001,P0096,63,140
S001,P0096,112,140
S001,P0096,121,140
S001,P0096,64,140
S001,P0096,77,140
S001,P0096,83,140
S001,P0096,102,140
S001,P0096,89,140
S001,P0096,88,140
S001,P0096,119,140
S001,P0096,37,140
S001,P0096,135,140
S001,P0096,108,140
S001,P0096,131,140
S001,P0096,137,140
S001,P0096,22,140
S001,P0096,90,140
S001,P0096,110,140
S001,P0096,82,140
S001,P0096,104,140
S001,P0096,122,140
S001,P0096,107,140
S001,P0096,135,140
S001,P0096,130,140
S001,P0096,29,140
S001,P0096,125,140
S001,P0096,137,140
S001,P0096,124,140
S001,P0096,132,140
S001,P0096,103,140
S001,P0096,72,140
S001,P0096,112,140
S001,P0096,139,140
S001,P0096,136,140
S001,P0096,115,140
S001,P0096,138,140
S001,P0096,83,140
S001,P0096,99,140
S001,P0096,112,140
S001,P0096,68,140
S001,P0096,127,140
S001,P0096,83,140
S001,P0096,133,140
S001,P0096,68,140
S001,P0096,76,140
S001,P0096,130,140
S001,P0096,87,140
S001,P0096,115,140
S001,P0096,100,140
S001,P0096,65,140
S001,P0096,111,140
S001,P0096,104,140
S001,P0096,119,140
S001,P0096,121,140
