ProductID,PDate,MovingAvgUnitsSold
P0016,2022-01-01,127.00
P0016,2022-01-01,153.50
P0016,2022-01-01,150.33
P0016,2022-01-01,146.25
P0016,2022-01-01,153.80
P0016,2022-01-02,140.50
P0016,2022-01-02,135.14
P0016,2022-01-02,130.86
P0016,2022-01-02,128.29
P0016,2022-01-02,121.86
P0016,2022-01-03,122.29
P0016,2022-01-03,112.29
P0016,2022-01-03,125.00
P0016,2022-01-03,136.43
P0016,2022-01-03,141.86
P0016,2022-01-04,133.29
P0016,2022-01-04,139.71
P0016,2022-01-04,139.43
P0016,2022-01-04,155.86
P0016,2022-01-04,151.86
P0016,2022-01-05,140.71
P0016,2022-01-05,141.57
P0016,2022-01-05,153.71
P0016,2022-01-05,154.71
P0016,2022-01-05,153.71
P0016,2022-01-06,138.86
P0016,2022-01-06,130.57
P0016,2022-01-06,127.86
P0016,2022-01-06,118.71
P0016,2022-01-06,107.57
P0016,2022-01-07,93.86
P0016,2022-01-07,92.29
P0016,2022-01-07,97.71
P0016,2022-01-07,102.29
P0016,2022-01-07,107.29
P0016,2022-01-08,111.00
P0016,2022-01-08,108.00
P0016,2022-01-08,122.00
P0016,2022-01-08,121.43
P0016,2022-01-08,107.14
P0016,2022-01-09,104.29
P0016,2022-01-09,104.86
P0016,2022-01-09,102.43
P0016,2022-01-09,113.86
P0016,2022-01-09,119.71
P0016,2022-01-10,115.29
P0016,2022-01-10,131.86
P0016,2022-01-10,142.71
P0016,2022-01-10,156.29
P0016,2022-01-10,159.14
P0016,2022-01-11,152.86
P0016,2022-01-11,146.14
P0016,2022-01-11,159.86
P0016,2022-01-11,150.00
P0016,2022-01-11,135.71
P0016,2022-01-12,118.14
P0016,2022-01-12,126.86
P0016,2022-01-12,130.86
P0016,2022-01-12,123.43
P0016,2022-01-12,111.00
P0016,2022-01-13,119.14
P0016,2022-01-13,122.57
P0016,2022-01-13,124.14
P0016,2022-01-13,112.00
P0016,2022-01-13,102.71
P0016,2022-01-14,108.71
P0016,2022-01-14,111.57
P0016,2022-01-14,106.86
P0016,2022-01-14,119.57
P0016,2022-01-14,119.29
P0016,2022-01-15,138.57
P0016,2022-01-15,155.86
P0016,2022-01-15,158.86
P0016,2022-01-15,165.71
P0016,2022-01-15,157.00
P0016,2022-01-16,143.14
P0016,2022-01-16,148.14
P0016,2022-01-16,131.29
P0016,2022-01-16,112.00
P0016,2022-01-16,103.29
P0016,2022-01-17,93.57
P0016,2022-01-17,97.57
P0016,2022-01-17,113.00
P0016,2022-01-17,108.14
P0016,2022-01-17,113.86
P0016,2022-01-18,115.71
P0016,2022-01-18,124.71
P0016,2022-01-18,137.86
P0016,2022-01-18,140.43
P0016,2022-01-18,131.00
P0016,2022-01-19,125.29
P0016,2022-01-19,120.14
P0016,2022-01-19,133.43
P0016,2022-01-19,120.86
P0016,2022-01-19,105.86
P0016,2022-01-20,107.57
P0016,2022-01-20,98.29
P0016,2022-01-20,114.00
P0016,2022-01-20,119.29
P0016,2022-01-20,125.14
P0016,2022-01-21,130.00
P0016,2022-01-21,129.29
P0016,2022-01-21,124.57
P0016,2022-01-21,141.29
P0016,2022-01-21,123.00
P0016,2022-01-22,125.71
P0016,2022-01-22,114.86
P0016,2022-01-22,121.29
P0016,2022-01-22,127.14
P0016,2022-01-22,138.71
P0016,2022-01-23,137.00
P0016,2022-01-23,147.86
P0016,2022-01-23,146.86
P0016,2022-01-23,137.86
P0016,2022-01-23,140.29
P0016,2022-01-24,139.43
P0016,2022-01-24,129.71
P0016,2022-01-24,140.71
P0016,2022-01-24,145.43
P0016,2022-01-24,149.57
P0016,2022-01-25,154.57
P0016,2022-01-25,146.71
P0016,2022-01-25,149.00
P0016,2022-01-25,146.43
P0016,2022-01-25,134.57
P0016,2022-01-26,122.71
P0016,2022-01-26,122.00
P0016,2022-01-26,127.43
P0016,2022-01-26,133.86
P0016,2022-01-26,137.00
P0016,2022-01-27,140.71
P0016,2022-01-27,138.00
P0016,2022-01-27,140.71
P0016,2022-01-27,135.57
P0016,2022-01-27,129.86
P0016,2022-01-28,119.57
P0016,2022-01-28,115.43
P0016,2022-01-28,114.57
P0016,2022-01-28,102.43
P0016,2022-01-28,111.00
P0016,2022-01-29,98.57
P0016,2022-01-29,88.43
P0016,2022-01-29,80.29
P0016,2022-01-29,72.71
P0016,2022-01-29,78.43
P0016,2022-01-30,89.00
P0016,2022-01-30,82.86
P0016,2022-01-30,98.14
P0016,2022-01-30,110.86
P0016,2022-01-30,121.14
P0016,2022-01-31,141.71
P0016,2022-01-31,138.29
P0016,2022-01-31,137.00
P0016,2022-01-31,133.71
P0016,2022-01-31,132.71
P0016,2022-02-01,132.29
P0016,2022-02-01,140.00
P0016,2022-02-01,143.57
P0016,2022-02-01,151.86
P0016,2022-02-01,156.14
P0016,2022-02-02,171.43
P0016,2022-02-02,171.00
P0016,2022-02-02,173.00
P0016,2022-02-02,176.71
P0016,2022-02-02,163.43
P0016,2022-02-03,155.29
P0016,2022-02-03,154.57
P0016,2022-02-03,144.71
P0016,2022-02-03,133.14
P0016,2022-02-03,122.14
P0016,2022-02-04,102.14
P0016,2022-02-04,105.71
P0016,2022-02-04,102.29
P0016,2022-02-04,95.00
P0016,2022-02-04,92.29
P0016,2022-02-05,92.00
